a	8.167	11.525	11.920	9.383	8.910	6.025	10.110	8.421
b	1.492	2.215	2.844	1.535	1.470	2.000	1.043	0.822
c	2.782	4.019	0.963	1.486	3.960	0.565	0	0.740
d	4.253	5.010	4.706	4.702	3.250	5.858	1.575	3.475
e	12.702	12.181	8.912	10.149	7.660	15.453	6.418	7.562
f	2.228	0.692	0.461	2.027	0.300	2.406	3.013	0.084
g	2.015	1.768	1.253	2.862	1.420	4.077	4.241	0.092
h	6.094	0.703	1.212	2.090	1.080	1.621	1.871	1.356
i	6.966	6.247	8.600	5.817	8.210	6.000	7.578	6.073
j	0.153	0.493	0.034	0.614	2.280	0.730	1.144	1.433
k	0.772	0.011	4.683	3.140	3.510	3.395	3.314	2.894
l	4.025	4.967	5.922	5.275	2.100	5.229	4.532	3.802
m	2.406	3.157	3.752	3.471	2.800	3.237	4.041	2.446
n	6.749	6.712	7.487	8.542	5.520	7.240	7.711	6.468
o	7.507	8.683	2.476	4.482	7.750	4.636	2.166	6.695
p	1.929	2.510	0.886	1.839	3.130	1.756	0.789	1.906
q	0.095	0.877	0	0.020	0.140	0.007	0	0.001
r	5.987	6.871	6.722	8.431	4.690	8.956	8.581	4.799
s	6.327	7.977	3.014	6.590	4.320	5.805	5.630	5.212
t	9.056	4.632	3.314	7.691	3.980	6.862	4.953	5.727
u	2.758	2.927	3.235	1.919	2.500	1.979	4.562	2.160
v	0.978	1.138	0.959	2.415	0.040	2.332	2.437	5.344
w	2.360	0.017	0	0.142	4.650	0.069	0	0.016
x	0.150	0.215	0	0.159	0.020	0.028	0.046	0.027
y	1.974	1.008	3.336	0.708	3.760	0.698	0.900	1.043
z	0.074	0.467	1.500	0.070	5.640	0.034	0	1.599
à	0	0	0	0	0	0	0	0
â	0	0	0	0	0	0	0	0
á	0	0.502	0	0	0	0	1.799	0.867
å	0	0	0	1.338	0	1.190	0	0
ä	0	0	0	1.797	0	0	0	0
ã	0	0	0	0	0	0	0	0
ą	0	0	0	0	0.990	0	0	0
æ	0	0	0	0	0	0.872	0.867	0
œ	0	0	0	0	0	0	0	0
ç	0	0	1.156	0	0	0	0	0
ĉ	0	0	0	0	0	0	0	0
ć	0	0	0	0	0.400	0	0	0
č	0	0	0	0	0	0	0	0.462
ď	0	0	0	0	0	0	0	0.015
ð	0	0	0	0	0	0	4.393	0
è	0	0	0	0	0	0	0	0
é	0	0.433	0	0	0	0	0.647	0.633
ê	0	0	0	0	0	0	0	0
ë	0	0	0	0	0	0	0	0
ę	0	0	0	0	1.110	0	0	0
ě	0	0	0	0	0	0	0	1.222
ĝ	0	0	0	0	0	0	0	0
ğ	0	0	1.125	0	0	0	0	0
ĥ	0	0	0	0	0	0	0	0
î	0	0	0	0	0	0	0	0
ì	0	0	0	0	0	0	0	0
í	0	0.725	0	0	0	0	1.570	1.643
ï	0	0	0	0	0	0	0	0
ı	0	0	5.114	0	0	0	0	0
ĵ	0	0	0	0	0	0	0	0
ł	0	0	0	0	1.820	0	0	0
ñ	0	0.311	0	0	0	0	0	0
ń	0	0	0	0	0.200	0	0	0
ň	0	0	0	0	0	0	0	0.007
ò	0	0	0	0	0	0	0	0
ö	0	0	0.777	1.305	0	0	0.777	0
ô	0	0	0	0	0	0	0	0
ó	0	0.827	0	0	0.850	0	0.994	0.024
õ	0	0	0	0	0	0	0	0
ø	0	0	0	0	0	0.939	0	0
ř	0	0	0	0	0	0	0	0.380
ŝ	0	0	0	0	0	0	0	0
ş	0	0	1.780	0	0	0	0	0
ś	0	0	0	0	0.660	0	0	0
š	0	0	0	0	0	0	0	0.688
ß	0	0	0	0	0	0	0	0
ť	0	0	0	0	0	0	0	0.006
þ	0	0	0	0	0	0	1.455	0
ù	0	0	0	0	0	0	0	0
ú	0	0.168	0	0	0	0	0.613	0.045
û	0	0	0	0	0	0	0	0
ŭ	0	0	0	0	0	0	0	0
ü	0	0.012	1.854	0	0	0	0	0
ů	0	0	0	0	0	0	0	0.204
ý	0	0	0	0	0	0	0.228	0.995
ź	0	0	0	0	0.060	0	0	0
ż	0	0	0	0	0.830	0	0	0
ž	0	0	0	0	0	0	0	0.721
